collocate,raw_frequency,MI
open,1,4.429585548969304
carriage,1,5.419984252997181
shut,1,6.280185518220292
summer,1,5.844867446962446
at,1,1.4022161904721304
dear,1,2.9911054346788433
old,1,3.1021316878723466
do,1,2.5822562285864383
mend,1,8.678080791018663
pens,1,8.678080791018663
vaughan,1,3.496297240726578
steel,1,7.068642878584562
paper,1,5.181573229552183
stabbers,1,8.678080791018663
sometimes,1,5.2123448882189365
cut,1,4.893891157100402
pencils,1,7.984933610458718
